Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG02;ZAG NICE;FR24036;NICE ARSON;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.384434293745631;µg-m3;98.0;99.0;97.0;R;1;43.702075;7.286256
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24038;GAP JEAN JAURES;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;11.0;10.610259709873644;µg-m3;98.0;100.0;98.0;R;1;44.548647;6.067237
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR24039;Obs Haute-Provence;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;5.0;5.43530576875461;µg-m3;93.0;99.0;92.0;R;1;43.933476;5.711809
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;10.0;9.833425925925928;µg-m3;99.0;99.0;99.0;R;1;49.442358;1.093789
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25039;Evreux Centre;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.8457539591461645;µg-m3;99.0;100.0;99.0;R;1;49.02134;1.148319
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25043;Centre Hospitalier;Urbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;8.0;7.6982619936799805;µg-m3;95.0;84.0;79.0;N;-1;49.4005;1.099042
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25049;Base loisirs Poses;Rurale près des villes;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;6.0;6.445082151699293;µg-m3;98.0;52.0;51.0;N;-1;49.30487;1.214367
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25051;Dieppe prox-auto;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;10.0;10.349841008126214;µg-m3;97.0;99.0;97.0;R;1;49.918007;1.073972
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25053;Rouen Proxi Quai de Paris;Urbaine;PM2.5;Trafic;Oui;mesures fixes;Moy. annuelle;9.0;8.535549509050051;µg-m3;96.0;100.0;96.0;R;1;49.436699;1.098838
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR25055;Dieppe Golf;Périurbaine;PM2.5;Fond;Oui;mesures fixes;Moy. annuelle;9.0;9.151036906854126;µg-m3;99.0;98.0;97.0;R;1;49.920492;1.047892
