Commune,pm10,pm25,no2
FONTENAY LES BRIIS,15,9,19
FONTENAY MAUVOISIN,15,8,10
FONTENAY SOUS BOIS,19,11,27
FONTENAY ST PERE,16,9,11
FONTENAY TRESIGNY,15,8,8
FORFRY,17,9,10
FORGES,15,8,17
FORGES LES BAINS,15,8,17
FOSSES,21,10,17
FOUJU,15,8,8
FRANCONVILLE,21,11,22
FREMAINVILLE,17,9,10
FREMECOURT,18,9,10
FRENEUSE,15,9,11
FREPILLON,20,10,19
FRESNES,19,11,37
FRESNES SUR MARNE,17,9,14
FRETOY,15,8,6
FROMONT,15,8,7
FROUVILLE,18,9,11
FUBLAINES,15,9,10
GAGNY,19,11,24
GAILLON SUR MONTCIENT,17,9,12
GALLUIS,14,8,11
GAMBAIS,14,8,9
GAMBAISEUIL,14,8,7
GARANCIERES,14,8,9
GARCHES,18,10,22
GARENTREVILLE,15,8,6
GARGENVILLE,16,9,14
GARGES LES GONESSE,24,12,31
GASTINS,16,9,7
GAUDIES,,,
GAZERAN,15,8,7
GENAINVILLE,16,9,8
GENICOURT,19,9,13
GENNEVILLIERS,22,12,28
GENTILLY,20,12,33
GERMIGNY L EVEQUE,16,9,9
GERMIGNY SOUS COULOMBS,15,9,7
GESVRES LE CHAPITRE,17,9,10
GIF SUR YVETTE,15,9,17
GIREMOUTIERS,15,9,8
GIRONVILLE,14,8,8
GIRONVILLE SUR ESSONNE,14,8,8
GOMETZ LA VILLE,15,8,17
GOMETZ LE CHATEL,15,9,17
GOMMECOURT,15,9,9
GONESSE,23,11,25
GOUAIX,15,9,5
GOUPILLIERES,15,8,9
GOURNAY SUR MARNE,18,10,23
GOUSSAINVILLE,22,11,22
GOUSSONVILLE,15,8,10
GOUVERNES,17,9,17
GOUZANGREZ,17,9,10
GRANDCHAMP,14,8,7
GRANDPUITS BAILLY CARROIS,16,9,7
GRAVON,16,9,6
GRESSEY,15,8,7
GRESSY,19,10,18
GRETZ ARMAINVILLIERS,15,9,13
GREZ SUR LOING,15,8,7
GRIGNY,18,10,38
GRISY LES PLATRES,18,9,10
GRISY SUISNES,16,9,12
GRISY SUR SEINE,15,9,5
GROSLAY,22,11,21
GROSROUVRE,14,8,8
GUERARD,15,8,7
GUERCHEVILLE,15,8,6
GUERMANTES,17,9,17
GUERNES,16,9,12
GUERVILLE,15,9,11
GUIBEVILLE,15,9,19
GUIGNES,15,9,13
GUIGNEVILLE SUR ESSONNE,14,8,11
GUILLERVAL,15,8,9
GUIRY EN VEXIN,17,9,10
GUITRANCOURT,16,9,12
GURCY LE CHATEL,15,8,6
GUYANCOURT,16,9,17
HARAVILLIERS,18,9,9
HARDRICOURT,17,9,14
HARGEVILLE,16,8,10
HAUTE ISLE,16,9,10
HAUTEFEUILLE,15,8,7
HEDOUVILLE,18,9,12
HERBEVILLE,15,8,12
HERBLAY,21,10,21
HERICY,15,8,8
HERME,15,8,7
HERMERAY,15,8,7
HEROUVILLE,19,9,13
HODENT,16,9,9
HONDEVILLIERS,15,8,6
HOUDAN,15,8,9
HOUILLES,20,11,23
ICHY,15,8,6
IGNY,18,9,24
ISLES LES MELDEUSES,16,9,9
ISLES LES VILLENOY,16,9,13
ISSOU,18,10,21
ISSY LES MOULINEAUX,23,14,49
ITTEVILLE,14,8,15
IVERNY,17,9,13
IVRY SUR SEINE,24,14,36
JABLINES,16,9,13
JAGNY SOUS BOIS,21,10,16
JAIGNES,15,9,7
JAMBVILLE,17,9,11
JANVILLE SUR JUINE,15,8,14
JANVRY,17,9,21
JAULNES,15,9,5
JEUFOSSE,15,9,11
JOINVILLE LE PONT,18,11,30
JOSSIGNY,19,10,18
JOUARRE,17,9,8
JOUARS PONTCHARTRAIN,14,8,14
JOUY EN JOSAS,18,10,22
JOUY LE CHATEL,15,9,6
JOUY LE MOUTIER,19,10,16
JOUY MAUVOISIN,15,9,10
JOUY SUR MORIN,15,8,6
JUILLY,18,9,16
JUMEAUVILLE,15,8,10
JUTIGNY,15,8,5
JUVISY SUR ORGE,18,11,34
JUZIERS,16,9,14
L ETANG LA VILLE,17,9,16
L HAY LES ROSES,19,11,32
L ILE ST DENIS,24,13,32
L ISLE ADAM,19,10,17
LA BOISSIERE ECOLE,14,8,6
LA BROSSE MONTCEAUX,15,8,7
LA CELLE LES BORDES,14,8,10
LA CELLE ST CLOUD,18,9,20
LA CELLE SUR MORIN,15,8,7
LA CHAPELLE EN VEXIN,17,9,10
LA CHAPELLE GAUTHIER,15,8,7
LA CHAPELLE IGER,15,9,6
LA CHAPELLE LA REINE,16,8,12
LA CHAPELLE MOUTILS,15,8,5
LA CHAPELLE RABLAIS,15,8,6
LA CHAPELLE ST SULPICE,15,8,5
LA COURNEUVE,23,12,37
LA CROIX EN BRIE,17,9,6
LA FALAISE,15,9,14
LA FERTE ALAIS,20,10,21
